Limit Breached,Ext.,Result Date,Parameter,Locality,Sample Point,Site Code,Data Qualifier,Result,UOM,Comment,HasAttachments,Date Sent,Import Reference,Import Batch No,Import Sample Type,User
False,False,5/11/2025 12:39,"Chlorine, Free",Southford,Fortcrest,,=,0.61,mg/L,[redacted],False,,,,,user93748
False,False,5/11/2025 11:47,"Chlorine, Free",Southford,Newford,,=,0.62,mg/L,[redacted],False,,,,,user93748
False,False,5/11/2025 11:22,Chlorine Tank Level,Southford,Eastbridge,,=,59.0,L,[redacted],False,,,,,user93748
False,False,5/11/2025 11:22,"Chlorine, Free (Outflow)",Southford,Eastbridge,,=,0.94,,[redacted],False,,,,,user93748
False,False,5/11/2025 11:22,"Chlorine, Free (madd)",Southford,Eastbridge,,=,0.91,mg/L,[redacted],False,,,,,user93748
False,False,5/11/2025 11:22,"Chlorine, Free (Inflow)",Southford,Eastbridge,,=,0.91,,[redacted],False,,,,,user93748
False,False,5/11/2025 11:03,"Chlorine, Free",Southford,Lakefield,JZN666,=,1.05,mg/L,[redacted],False,,,,,user93748
False,False,5/11/2025 11:03,Chlorine Tank Level,Southford,Lakefield,JZN666,=,1283.0,L,[redacted],False,,,,,user93748
False,False,5/11/2025 10:45,Chlorine Tank Level,Southford,Eastvale,,=,1324.0,L,[redacted],False,,,,,user93748
False,False,5/11/2025 10:45,"Chlorine, Free",Southford,Eastvale,,=,1.09,mg/L,[redacted],False,,,,,user93748
False,False,5/11/2025 10:19,Chlorine Tank Level,Southford,Lakeham,,=,867.0,L,[redacted],False,,,,,user93748
False,False,5/11/2025 10:18,"Chlorine, Free",Southford,Lakeham,,=,1.08,mg/L,[redacted],False,,,,,user93748
False,False,5/11/2025 10:07,Chlorine Tank Level,Southford,Southbridge,,=,180.0,L,[redacted],False,,,,,user93748
False,False,5/11/2025 10:07,"Chlorine, Free",Southford,Southbridge,,=,1.09,mg/L,[redacted],False,,,,,user93748
False,False,5/11/2025 09:40,"Chlorine, Free",Southford,Southbury,,=,0.64,mg/L,[redacted],False,,,,,user93748
False,False,5/11/2025 09:18,Chlorine Tank Level,Southford,Lakecrest,,=,1168.0,L,[redacted],False,,,,,user93748
False,False,5/11/2025 09:18,"Chlorine, Free",Southford,Lakecrest,,=,1.03,mg/L,[redacted],False,,,,,user93748
False,False,3/11/2025 15:08,"Chlorine, Free",Newvale,Newford,WAS798,=,1.12,mg/L,[redacted],False,,,,,user76540
False,False,3/11/2025 15:03,"Chlorine, Free",Southford,Fortside,,=,0.73,mg/L,[redacted],False,,,,,user93748
False,False,3/11/2025 14:30,"Chlorine, Free",Westton,Southbridge,XTT448,=,1.14,mg/L,[redacted],False,,,,,user93748
False,False,3/11/2025 14:30,"Chlorine, Free",Westton,Southbridge,XTT448,=,1.14,mg/L,[redacted],False,,,,,user93748
False,False,3/11/2025 13:50,"Chlorine, Free",Southside,Southside,,=,0.88,mg/L,[redacted],False,,,,,user89818
False,False,3/11/2025 13:49,"Chlorine, Free",Southside,Newcrest,,=,0.98,mg/L,[redacted],False,,,,,user89818
False,False,3/11/2025 13:49,Chlorine Tank Level,Southside,Lakecrest,,=,76.0,L,[redacted],False,,,,,user89818
False,False,3/11/2025 13:49,"Chlorine, Free",Southside,Lakecrest,,=,0.87,mg/L,[redacted],False,,,,,user89818
False,False,3/11/2025 12:50,Chlorine Tank Level,Southside,Westham,,=,45.0,L,[redacted],False,,,,,user93748
False,False,3/11/2025 12:50,"Chlorine, Free",Southside,Westham,,=,0.73,mg/L,[redacted],False,,,,,user93748
False,False,3/11/2025 11:30,"Chlorine, Free",Southcrest,Northvale,,=,1.1,mg/L,[redacted],False,,,,,user93748
False,False,3/11/2025 11:30,"Chlorine, Free",Southcrest,Northvale,,=,1.1,mg/L,[redacted],False,,,,,user93748
False,False,3/11/2025 10:27,Chlorine Tank Level,Southside,Newham,,=,180.0,L,[redacted],False,,,,,user89818
False,False,3/11/2025 10:26,"Chlorine, Free",Southside,Newham,,=,1.14,mg/L,[redacted],False,,,,,user89818
False,False,3/11/2025 10:15,"Chlorine, Free",Southside,Westham,,=,0.87,mg/L,[redacted],False,,,,,user89818
False,False,3/11/2025 10:11,"Chlorine, Free",Portford,Portfield,,=,0.02,mg/L,[redacted],False,,,,,user36071
False,False,3/11/2025 09:44,"Chlorine, Free",Northham,Fortbury,CLL839,=,1.1,mg/L,[redacted],False,,,,,user93748
